NAME,DP05_0001E,state
Alabama,5028092,01
Alaska,734821,02
Arizona,7172282,04
Arkansas,3018669,05
California,39356104,06
Colorado,5770790,08
Connecticut,3611317,09
Delaware,993635,10
District of Columbia,670587,11
Florida,21634529,12
Georgia,10722325,13
Hawaii,1450589,15
Idaho,1854109,16
Illinois,12757634,17
Indiana,6784403,18
Iowa,3188836,19
Kansas,2935922,20
Kentucky,4502935,21
Louisiana,4640546,22
Maine,1366949,23
Maryland,6161707,24
Massachusetts,6984205,25
Michigan,10057921,26
Minnesota,5695292,27
Mississippi,2958846,28
Missouri,6154422,29
Montana,1091840,30
Nebraska,1958939,31
Nevada,3104817,32
New Hampshire,1379610,33
New Jersey,9249063,34
New Mexico,2112463,35
New York,19994379,36
North Carolina,10470214,37
North Dakota,776874,38
Ohio,11774683,39
Oklahoma,3970497,40
Oregon,4229374,41
Pennsylvania,12989208,42
Rhode Island,1094250,44
South Carolina,5142750,45
South Dakota,890342,46
Tennessee,6923772,47
Texas,29243342,48
Utah,3283809,49
Vermont,643816,50
Virginia,8624511,51
Washington,7688549,53
West Virginia,1792967,54
Wisconsin,5882128,55
Wyoming,577929,56
Puerto Rico,3272382,72
